leafPublicKey                           => leaf_public_key
levelString                             => level_string
lineSeparated                           => line_separated
loopCount                               => loop_count
lpVtbl                                  => lp_vtbl
m_Crc                                   => m_crc
m_EnclaveBase                           => m_enclave_base
m_Enclaves                              => m_enclaves
m_Id                                    => m_id
m_Key                                   => m_key
m_Result                                => m_result
malformedQualifierList                  => malformed_qualifier_list
mallocStr                               => malloc_str
mallocText                              => malloc_text
maxReaders                              => max_readers
maxSize                                 => max_size
maxWriters                              => max_writers
messageLength                           => message_length
messageType                             => message_type
modulusSize                             => modulus_size
newArgs                                 => new_args
newEntry                                => new_entry
newLock                                 => new_lock
newSize                                 => new_size
nullTerminator                          => null_terminator
numConstructions                        => num_constructions
numDestructions                         => num_destructions
numHeapPages                            => num_heap_pages
numIn                                   => num_in
numOut                                  => num_out
numPages                                => num_pages
numSegments                             => num_segments
numStackPages                           => num_stack_pages
numTCS                                  => num_tcs
numThreads                              => num_threads
objectIn                                => object_in
objectOut                               => object_out
objectRefOut                            => object_ref_out
ocallContext                            => ocall_context
oeReport                                => oe_report
oe_enclavePropertiesSGX                 => oe_enclave_properties_sgx
oldFlowId                               => old_flow_id
oldSize                                 => old_size
oldVal                                  => old_val
optParams                               => opt_params
optParamsSize                           => opt_params_size
outBytes                                => out_bytes
outPtr                                  => out_ptr
outputArg1                              => output_arg1
outputArg2                              => output_arg2
outputSize                              => output_size
pGID                                    => p_gid
pNonce                                  => p_nonce
pProxyInfo                              => p_proxy_info
pQEReport                               => p_qe_report
pQuote                                  => p_quote
pReport                                 => p_report
pResult                                 => p_result
pSPID                                   => p_spid
pSigRL                                  => p_sig_rl
pTargetInfo                             => p_target_info
pWhitelist                              => p_whitelist
pWhitelistSize                          => p_whitelist_size
parseCloseBrace                         => parse_close_brace
parseCloseBracket                       => parse_close_bracket
parseCloseParen                         => parse_close_paren
parseComma                              => parse_comma
parseConst                              => parse_const
parseInitializer                        => parse_initializer
parseName                               => parse_name
parsePtr                                => parse_ptr
parsePtrPtr                             => parse_ptr_ptr
parseQualifiers                         => parse_qualifiers
parseSemicolon                          => parse_semicolon
parseSigned                             => parse_signed
parseStruct                             => parse_struct
parseSubscript                          => parse_subscript
parseType                               => parse_type
parseUnsigned                           => parse_unsigned
parsedReport                            => parsed_report
pckCertChain                            => pck_cert_chain
pckCrl                                  => pck_crl
pckCrlSize                              => pck_crl_size
